tahun,bulan,jenis_hotel,tpk
2025,Mei,2.c. Hotel NonBintang; kamar 25-40,25.8
2025,Mei,2.d. Hotel NonBintang; kamar >40,24.05
2025,Mei,2. Hotel NonBintang Total,23.42
2025,Mei,3. Hotel Berbintang dan NonBintang Total,37.59
2019,Juni,1.a. Hotel Bintang 1,
2019,Juni,1.b. Hotel Bintang 2,
2019,Juni,1.c. Hotel Bintang 3,
2019,Juni,1.d. Hotel Bintang 4,
2019,Juni,1.e. Hotel Bintang 5,
2019,Juni,1. Hotel Berbintang Total,53.13
2019,Juni,2.a. Hotel NonBintang; kamar <10,
2019,Juni,2.b. Hotel NonBintang; kamar 10-24,
2019,Juni,2.c. Hotel NonBintang; kamar 25-40,
2019,Juni,2.d. Hotel NonBintang; kamar >40,
2019,Juni,2. Hotel NonBintang Total,32.9
2019,Juni,3. Hotel Berbintang dan NonBintang Total,47.57
2020,Juni,1.a. Hotel Bintang 1,
2020,Juni,1.b. Hotel Bintang 2,
2020,Juni,1.c. Hotel Bintang 3,
2020,Juni,1.d. Hotel Bintang 4,
2020,Juni,1.e. Hotel Bintang 5,
2020,Juni,1. Hotel Berbintang Total,20.76
2020,Juni,2.a. Hotel NonBintang; kamar <10,
2020,Juni,2.b. Hotel NonBintang; kamar 10-24,
2020,Juni,2.c. Hotel NonBintang; kamar 25-40,
2020,Juni,2.d. Hotel NonBintang; kamar >40,
2020,Juni,2. Hotel NonBintang Total,15.57
2020,Juni,3. Hotel Berbintang dan NonBintang Total,19.13
2021,Juni,1.a. Hotel Bintang 1,
2021,Juni,1.b. Hotel Bintang 2,
2021,Juni,1.c. Hotel Bintang 3,
2021,Juni,1.d. Hotel Bintang 4,
2021,Juni,1.e. Hotel Bintang 5,
2021,Juni,1. Hotel Berbintang Total,38.19
2021,Juni,2.a. Hotel NonBintang; kamar <10,
2021,Juni,2.b. Hotel NonBintang; kamar 10-24,
2021,Juni,2.c. Hotel NonBintang; kamar 25-40,
2021,Juni,2.d. Hotel NonBintang; kamar >40,
2021,Juni,2. Hotel NonBintang Total,19.31
2021,Juni,3. Hotel Berbintang dan NonBintang Total,32.9
2022,Juni,1.a. Hotel Bintang 1,
2022,Juni,1.b. Hotel Bintang 2,
2022,Juni,1.c. Hotel Bintang 3,
2022,Juni,1.d. Hotel Bintang 4,
2022,Juni,1.e. Hotel Bintang 5,
2022,Juni,1. Hotel Berbintang Total,52.82
2022,Juni,2.a. Hotel NonBintang; kamar <10,
2022,Juni,2.b. Hotel NonBintang; kamar 10-24,
2022,Juni,2.c. Hotel NonBintang; kamar 25-40,
2022,Juni,2.d. Hotel NonBintang; kamar >40,
2022,Juni,2. Hotel NonBintang Total,26.19
2022,Juni,3. Hotel Berbintang dan NonBintang Total,
2023,Juni,1.a. Hotel Bintang 1,
2023,Juni,1.b. Hotel Bintang 2,
2023,Juni,1.c. Hotel Bintang 3,
2023,Juni,1.d. Hotel Bintang 4,
2023,Juni,1.e. Hotel Bintang 5,
2023,Juni,1. Hotel Berbintang Total,
2023,Juni,2.a. Hotel NonBintang; kamar <10,
2023,Juni,2.b. Hotel NonBintang; kamar 10-24,
2023,Juni,2.c. Hotel NonBintang; kamar 25-40,
2023,Juni,2.d. Hotel NonBintang; kamar >40,
2023,Juni,2. Hotel NonBintang Total,
2023,Juni,3. Hotel Berbintang dan NonBintang Total,
2024,Juni,1.a. Hotel Bintang 1,31.99
2024,Juni,1.b. Hotel Bintang 2,53.14
2024,Juni,1.c. Hotel Bintang 3,51.7
2024,Juni,1.d. Hotel Bintang 4,59.72
2024,Juni,1.e. Hotel Bintang 5,69.17
2024,Juni,1. Hotel Berbintang Total,54.42
2024,Juni,2.a. Hotel NonBintang; kamar <10,19.56
2024,Juni,2.b. Hotel NonBintang; kamar 10-24,24.75
2024,Juni,2.c. Hotel NonBintang; kamar 25-40,27.28
2024,Juni,2.d. Hotel NonBintang; kamar >40,21.53
2024,Juni,2. Hotel NonBintang Total,23.57
2024,Juni,3. Hotel Berbintang dan NonBintang Total,43.81
2025,Juni,1.a. Hotel Bintang 1,26.59
2025,Juni,1.b. Hotel Bintang 2,46.4
2025,Juni,1.c. Hotel Bintang 3,44.12
2025,Juni,1.d. Hotel Bintang 4,51.2
2025,Juni,1.e. Hotel Bintang 5,54.27
2025,Juni,1. Hotel Berbintang Total,47.08
2025,Juni,2.a. Hotel NonBintang; kamar <10,19.12
2025,Juni,2.b. Hotel NonBintang; kamar 10-24,23.14
2025,Juni,2.c. Hotel NonBintang; kamar 25-40,25.56
2025,Juni,2.d. Hotel NonBintang; kamar >40,22.9
2025,Juni,2. Hotel NonBintang Total,23.14
2025,Juni,3. Hotel Berbintang dan NonBintang Total,37.5
2019,Juli,1.a. Hotel Bintang 1,
2019,Juli,1.b. Hotel Bintang 2,
2019,Juli,1.c. Hotel Bintang 3,
2019,Juli,1.d. Hotel Bintang 4,
2019,Juli,1.e. Hotel Bintang 5,
2019,Juli,1. Hotel Berbintang Total,54.69
2019,Juli,2.a. Hotel NonBintang; kamar <10,
2019,Juli,2.b. Hotel NonBintang; kamar 10-24,
2019,Juli,2.c. Hotel NonBintang; kamar 25-40,
2019,Juli,2.d. Hotel NonBintang; kamar >40,
2019,Juli,2. Hotel NonBintang Total,34.13
2019,Juli,3. Hotel Berbintang dan NonBintang Total,49.03
2020,Juli,1.a. Hotel Bintang 1,
2020,Juli,1.b. Hotel Bintang 2,
2020,Juli,1.c. Hotel Bintang 3,
2020,Juli,1.d. Hotel Bintang 4,
2020,Juli,1.e. Hotel Bintang 5,
2020,Juli,1. Hotel Berbintang Total,30.51
2020,Juli,2.a. Hotel NonBintang; kamar <10,
2020,Juli,2.b. Hotel NonBintang; kamar 10-24,
2020,Juli,2.c. Hotel NonBintang; kamar 25-40,
2020,Juli,2.d. Hotel NonBintang; kamar >40,
2020,Juli,2. Hotel NonBintang Total,18.22
